driverId,driverRef,dob,nationality
422,gubby,17/04/1934,British
423,mitter,30/08/1935,German
424,bussinello,04/10/1927,Italian
425,vaccarella,04/03/1933,Italian
426,bassi,20/01/1934,Italian
427,trintignant,30/10/1917,French
428,collomb,07/10/1930,French
429,andre_pilette,06/10/1918,Belgian
430,beaufort,10/04/1934,Dutch
431,barth,26/01/1917,German
432,cabral,15/01/1934,Portuguese
433,hansgen,28/10/1919,American
434,sharp,01/01/1928,American
435,mairesse,01/10/1928,Belgian
436,campbell-jones,21/01/1930,British
437,burgess,06/07/1930,British
438,settember,10/07/1926,American
439,estefano,18/11/1932,Argentine
440,hall,23/07/1935,American
441,parnell,25/06/1932,British
442,kuhnke,30/04/1910,German
443,ernesto_brambilla,31/01/1934,Italian
444,lippi,17/10/1926,Italian
445,seiffert,18/10/1937,German
446,abate,10/07/1932,Italian
447,starrabba,03/12/1932,Italian
448,broeker,15/05/1926,Canadian
449,ward,10/01/1921,American
450,vos,01/07/1941,Dutch
451,dochnal,08/10/1920,American
452,monarch,03/09/1945,American
842,gasly,07/02/1996,French
453,lewis,01/11/1936,British
454,ricardo_rodriguez,14/02/1942,Mexican
455,seidel,04/07/1926,German
456,salvadori,12/05/1922,British
457,pon,09/12/1936,Dutch
458,slotemaker,13/06/1929,Dutch
459,marsh,20/07/1931,British
460,ashmore,25/07/1936,British
461,schiller,25/01/1930,Swiss
462,davis,29/07/1933,British
463,chamberlain,29/12/1925,American
464,shelly,02/02/1937,New Zealander
465,greene,05/01/1938,British
466,walter,28/07/1927,Swiss
467,prinoth,15/04/1923,Italian
468,penske,20/02/1937,American
469,schroeder,11/05/1926,British
470,mayer,22/02/1938,American
471,johnstone,30/01/1937,South African
472,harris,25/05/1939,South African
473,hocking,30/09/1937,Rhodesian
474,vyver,01/06/1920,South African
475,moss,17/09/1929,British
476,trips,04/05/1928,German
477,allison,08/02/1932,British
478,herrmann,23/02/1928,German
479,brooks,25/02/1932,British
480,may,18/08/1934,Swiss
481,henry_taylor,16/12/1932,British
482,gendebien,12/01/1924,Belgian
483,scarlatti,02/10/1921,Italian
484,naylor,24/03/1923,British
485,bordeu,28/01/1934,Argentine
486,fairman,15/03/1913,British
487,natili,28/07/1935,Italian
488,monteverdi,07/06/1934,Swiss
489,pirocchi,26/03/1933,Italian
490,duke,29/03/1923,British
491,thiele,05/04/1920,American-Italian
492,boffa,04/01/1930,Italian
493,ryan,10/06/1940,Canadian
494,ruby,12/01/1928,American
495,ken_miles,01/11/1918,British
496,menditeguy,10/08/1914,Argentine
497,larreta,14/01/1934,Argentine
498,gonzalez,05/10/1922,Argentine
499,bonomi,30/09/1919,Argentine
500,munaron,02/04/1928,Italian
501,schell,29/06/1921,American
502,stacey,29/08/1933,British
503,chimeri,04/06/1921,Venezuelan
504,creus,28/10/1924,Spanish
505,bristow,02/12/1937,British
506,halford,18/05/1931,British
507,daigh,29/11/1923,American
508,reventlow,24/02/1936,American
509,rathmann,16/07/1928,American
510,goldsmith,02/10/1925,American
511,branson,02/06/1920,American
512,thomson,09/04/1922,American
513,johnson,10/02/1919,American
514,veith,01/11/1926,American
515,tingelstad,04/04/1928,American
516,christie,04/04/1924,American
517,amick,19/01/1929,American
518,darter,05/05/1913,American
519,homeier,31/08/1918,American
520,hartley,28/01/1926,American
521,stevenson,15/10/1919,American
522,grim,04/09/1924,American
523,templeman,12/08/1919,American
524,hurtubise,05/12/1932,American
525,bryan,28/01/1926,American
526,ruttman,11/03/1930,American
527,sachs,28/05/1927,American
528,freeland,25/03/1925,American
529,bettenhausen,12/09/1916,American
530,weiler,09/12/1934,American
531,foyt,16/01/1935,American
532,russo,19/11/1925,American
533,boyd,19/08/1926,American
534,force,15/06/1916,American
535,mcwithey,04/07/1927,American
536,sutton,09/08/1925,American
537,dick_rathmann,06/01/1924,American
538,herman,15/03/1927,American
539,dempsey_wilson,11/03/1927,American
540,mike_taylor,24/04/1934,British
541,flockhart,16/06/1923,British
542,piper,02/12/1930,British
543,cabianca,19/02/1923,Italian
544,drogo,08/08/1926,Italian
545,gamble,17/03/1932,American
546,owen,23/03/1915,British
547,gould,20/09/1918,British
548,drake,14/12/1919,American
549,bueb,06/06/1923,British
550,Changy,05/02/1922,Belgian
551,filippis,11/11/1926,Italian
552,lucienbonnet,07/01/1923,French
553,testut,13/04/1926,Monegasque
554,behra,16/02/1921,French
555,paul_russo,10/04/1914,American
556,daywalt,28/08/1924,American
557,arnold,30/05/1926,American
558,keller,11/04/1920,American
559,flaherty,06/01/1926,American
560,cheesbourg,12/06/1927,American
561,ray_crawford,26/10/1915,American
562,turner,12/02/1920,American
563,weyant,03/04/1923,American
564,larson,21/01/1923,American
565,magill,08/02/1920,American
566,shelby,11/01/1923,American
567,orey,25/03/1938,Brazilian
568,fontes,26/12/1922,Uruguayan
569,ashdown,16/10/1934,British
570,bill_moss,04/09/1933,British
571,dennis_taylor,12/06/1921,British
572,blanchard,13/06/1929,American
573,tomaso,10/07/1928,Argentine-Italian
574,constantine,22/02/1918,American
575,said,05/05/1932,American
576,cade,12/06/1916,American
577,musso,28/07/1924,Italian
578,hawthorn,10/04/1929,British
579,fangio,24/06/1911,Argentine
580,godia,21/03/1921,Spanish
581,collins,06/11/1931,British
582,kavanagh,12/12/1923,Australian
583,gerini,10/08/1928,Italian
584,kessler,23/03/1936,American
585,emery,12/11/1916,British
586,piotti,27/10/1913,Italian
587,ecclestone,28/10/1930,British
588,taramazzo,05/05/1932,Italian
589,chiron,1899-08-03,Monegasque
590,lewis-evans,20/04/1930,British
591,george_amick,24/10/1924,American
592,reece,17/11/1929,American
593,parsons,04/07/1918,American
594,tolan,22/10/1917,American
595,garrett,24/04/1933,American
596,elisian,09/12/1926,American
597,connor,09/10/1928,American
598,jerry_unser,15/11/1932,American
599,bisch,10/11/1926,American
600,goethals,04/08/1928,Belgian
601,gibson,16/04/1918,British
602,la_caze,26/02/1917,French
603,guelfi,06/05/1919,French
604,picard,26/04/1921,French
605,bridger,24/06/1934,British
606,portago,11/10/1928,Spanish
607,perdisa,21/10/1932,Italian
608,castellotti,10/10/1930,Italian
609,simon,05/01/1920,French
610,leston,16/12/1920,British
611,hanks,13/07/1914,American
612,linden,05/04/1922,American
613,teague,22/02/1921,American
614,edmunds,23/09/1930,American
615,agabashian,21/08/1913,American
616,george,15/07/1928,American
617,macdowel,13/09/1932,British
618,mackay-fraser,23/06/1927,American
619,gerard,19/01/1914,British
620,maglioli,05/06/1928,Italian
621,england,28/03/1929,Australian
622,landi,14/07/1907,Brazilian
623,uria,11/07/1924,Uruguayan
624,ramos,07/12/1925,Brazilian
625,bayol,28/02/1914,French
626,manzon,12/04/1917,French
627,rosier,05/11/1905,French
628,sweikert,20/05/1926,American
629,griffith,06/02/1916,American
630,dinsmore,10/04/1913,American
631,andrews,15/06/1920,American
632,frere,30/01/1917,Belgian
633,villoresi,16/05/1909,Italian
634,scotti,11/11/1909,Italian
635,chapman,19/05/1928,British
636,titterington,01/05/1928,British
637,scott_Brown,13/05/1927,British
638,volonterio,07/12/1917,Swiss
639,milhoux,09/12/1928,Belgian
640,graffenried,18/05/1914,Swiss
641,taruffi,12/10/1906,Italian
642,farina,30/10/1906,Italian
643,mieres,03/12/1924,Argentine
644,mantovani,22/05/1929,Italian
645,bucci,04/09/1920,Argentine
646,iglesias,22/02/1922,Argentine
647,ascari,13/07/1918,Italian
648,kling,16/09/1910,German
649,birger,07/01/1924,Argentine
650,pollet,02/07/1922,French
651,macklin,02/09/1919,British
652,whiteaway,01/11/1928,British
653,davies,08/08/1929,American
654,faulkner,16/02/1920,American
655,niday,29/04/1914,American
656,cross,24/01/1918,American
657,vukovich,13/12/1918,American
658,mcgrath,08/10/1919,American
659,hoyt,29/01/1929,American
660,claes,11/08/1916,Belgian
661,peter_walker,07/10/1912,British
662,sparken,16/06/1930,French
663,wharton,21/03/1916,British
664,mcalpine,21/09/1920,British
665,marr,14/08/1922,British
666,rolt,16/10/1918,British
667,fitch,04/08/1917,American
668,lucas,25/04/1917,French
669,bira,15/07/1914,Thai
670,marimon,19/12/1923,Argentine
671,loyer,05/08/1907,French
672,daponte,05/06/1923,Argentine
673,nazaruk,02/10/1921,American
674,crockett,23/10/1926,American
675,ayulo,20/10/1921,American
676,armi,12/10/1918,American
677,webb,08/10/1910,American
678,duncan,25/07/1911,American
679,mccoy,19/02/1921,American
680,swaters,30/10/1926,American
681,georges_berger,14/09/1918,Belgian
682,beauman,26/07/1928,British
683,thorne,23/06/1916,British
684,whitehouse,01/04/1909,British
685,riseley_prichard,17/01/1924,British
686,reg_parnell,02/07/1911,British
687,whitehead,12/11/1914,British
688,brandon,18/07/1920,British
689,alan_brown,20/11/1919,British
690,nuckey,26/06/1929,British
691,lang,06/04/1909,German
692,helfrich,13/05/1913,German
693,wacker,10/07/1918,American
694,riu,10/03/1925,Italian
695,galvez,17/08/1913,Argentine
696,john_barber,22/07/1929,British
697,bonetto,09/06/1903,Italian
698,cruz,28/06/1923,Argentine
699,nalon,02/03/1913,American
700,scarborough,03/07/1914,American
701,holland,18/12/1907,American
702,bob_scott,04/10/1928,American
703,legat,1898-11-01,Belgian
704,cabantous,08/10/1904,French
705,crook,16/02/1920,British
706,jimmy_stewart,06/03/1931,British
707,ian_stewart,15/07/1929,British
708,duncan_hamilton,30/04/1920,British
709,klodwig,23/05/1903,East German
710,krause,30/03/1907,East German
711,karch,06/03/1917,German
712,heeks,13/02/1922,German
713,fitzau,10/02/1923,East German
714,adolff,05/11/1921,German
715,bechem,21/12/1921,German
716,bauer,17/07/1912,German
717,hans_stuck,27/12/1900,German
718,loof,04/07/1907,German
719,scherrer,28/02/1908,Swiss
720,terra,06/10/1918,Swiss
721,hirt,30/03/1910,Swiss
722,carini,06/03/1921,Italian
723,fischer,19/04/1912,Swiss
724,ulmen,25/01/1906,German
725,abecassis,21/03/1913,British
726,george_connor,16/08/1906,American
727,rigsby,06/06/1923,American
728,james,23/05/1925,American
729,schindler,06/03/1909,American
730,fonder,22/06/1917,American
731,banks,14/06/1913,American
732,mcdowell,29/01/1915,American
733,miller,19/07/1902,American
734,ball,26/08/1925,American
735,tornaco,07/06/1927,Belgian
736,laurent,21/02/1913,Belgian
737,obrien,11/04/1908,American
738,gaze,03/02/1920,Australian
739,charrington,23/06/1915,British
740,comotti,24/07/1906,Italian
741,etancelin,1896-12-28,French
742,poore,19/08/1916,British
743,thompson,04/11/1919,British
744,downing,05/12/1917,British
745,graham_whitehead,15/04/1922,British
746,bianco,22/07/1916,Brazilian
747,murray,28/12/1909,British
748,cantoni,04/10/1906,Uruguayan
749,aston,29/03/1900,British
750,brudes,1899-10-15,German
751,riess,11/07/1922,German
752,niedermayr,29/11/1915,German
753,klenk,28/10/1919,German
754,balsa,01/01/1909,French
755,schoeller,27/04/1902,Swiss
756,pietsch,20/06/1911,German
757,peters,16/09/1914,German
758,lof,23/08/1919,Dutch
759,flinterman,02/10/1919,Dutch
760,dusio,1899-10-13,Italian
761,crespo,16/01/1920,Argentine
762,rol,05/06/1908,Italian
763,sanesi,28/03/1911,Italian
764,guy_mairesse,10/08/1910,French
765,louveau,25/01/1910,French
766,wallard,07/09/1910,American
767,forberg,04/03/1911,American
768,rose,26/05/1906,American
769,mackey,15/12/1927,American
770,green,30/09/1919,American
771,walt_brown,30/12/1911,American
772,hellings,14/09/1915,American
773,levegh,22/12/1905,French
774,chaboud,12/04/1907,French
775,gordini,20/05/1921,French
776,kelly,13/03/1913,Irish
777,parker,22/09/1907,British
778,shawe_taylor,28/01/1915,British
779,john_james,10/05/1914,British
780,branca,15/09/1916,Swiss
781,richardson,21/08/1911,British
782,jover,23/11/1903,Spanish
783,grignard,25/07/1905,French
784,hampshire,29/12/1917,British
785,crossley,11/05/1921,British
786,fagioli,1898-06-09,Italian
787,harrison,06/07/1906,British
788,fry,26/10/1915,British
789,martin,24/03/1915,French
790,leslie_johnson,22/03/1912,British
791,biondetti,1898-08-18,Italian
792,pian,21/10/1912,Argentine
793,sommer,31/08/1906,French
794,chitwood,14/04/1912,American
795,fohr,17/06/1912,American
796,ader,15/12/1913,American
797,holmes,04/09/1920,American
798,levrett,14/02/1914,American
799,jackson,25/07/1910,American
800,pagani,11/10/1911,Italian
801,pozzi,27/08/1909,French
802,serafini,22/07/1909,Italian
803,cantrell,31/01/1908,American
804,mantz,18/09/1918,American
805,kladis,10/02/1917,American
806,oscar_gonzalez,10/11/1923,Uruguayan
807,hulkenberg,19/08/1987,German
808,petrov,08/09/1984,Russian
810,grassi,11/08/1984,Brazilian
811,bruno_senna,15/10/1983,Brazilian
812,chandhok,19/01/1984,Indian
813,maldonado,09/03/1985,Venezuelan
814,resta,16/04/1986,British
815,perez,26/01/1990,Mexican
816,ambrosio,27/12/1985,Belgian
817,ricciardo,01/07/1989,Australian
818,vergne,25/04/1990,French
819,pic,15/02/1990,French
820,chilton,21/04/1991,British
821,gutierrez,05/08/1991,Mexican
822,bottas,28/08/1989,Finnish
823,garde,25/04/1985,Dutch
824,jules_bianchi,03/08/1989,French
825,kevin_magnussen,05/10/1992,Danish
826,kvyat,26/04/1994,Russian
827,lotterer,19/11/1981,German
828,ericsson,02/09/1990,Swedish
829,stevens,28/06/1991,British
830,max_verstappen,30/09/1997,Dutch
831,nasr,21/08/1992,Brazilian
832,sainz,01/09/1994,Spanish
833,merhi,22/03/1991,Spanish
834,rossi,25/09/1991,American
835,jolyon_palmer,20/01/1991,British
836,wehrlein,18/10/1994,German
837,haryanto,22/01/1993,Indonesian
838,vandoorne,26/03/1992,Belgian
839,ocon,17/09/1996,French
840,stroll,29/10/1998,Canadian
841,giovinazzi,14/12/1993,Italian
843,brendon_hartley,10/11/1989,New Zealander
