"PID","county","state","area","poptotal","percollege"
561,"ADAMS","IL",0.052,66090,19.6313918
562,"ALEXANDER","IL",0.014,10626,11.2433076
563,"BOND","IL",0.022,14991,17.0338194
564,"BOONE","IL",0.017,30806,17.2789539
565,"BROWN","IL",0.018,5836,14.475999
566,"BUREAU","IL",0.05,35688,18.9046238
567,"CALHOUN","IL",0.017,5322,11.9173877
568,"CARROLL","IL",0.027,16805,16.1971209
569,"CASS","IL",0.024,13437,14.1076487
570,"CHAMPAIGN","IL",0.058,173025,41.2958081
571,"CHRISTIAN","IL",0.042,34418,13.567226
572,"CLARK","IL",0.03,15921,15.1108627
573,"CLAY","IL",0.028,14460,13.6830103
574,"CLINTON","IL",0.029,33944,15.3874693
575,"COLES","IL",0.03,51644,25.1750412
576,"COOK","IL",0.058,5105067,28.0181167
577,"CRAWFORD","IL",0.026,19464,16.9858076
578,"CUMBERLAND","IL",0.02,10670,14.5978891
579,"DE KALB","IL",0.038,77932,32.835928
580,"DE WITT","IL",0.023,16516,16.1959601
581,"DOUGLAS","IL",0.025,19464,16.8685259
582,"DU PAGE","IL",0.02,781666,42.7688669
583,"EDGAR","IL",0.036,19595,16.8399327
584,"EDWARDS","IL",0.014,7440,16.9356446
585,"EFFINGHAM","IL",0.028,31704,20.2751964
586,"FAYETTE","IL",0.044,20893,13.6029941
587,"FORD","IL",0.03,14275,17.8273561
588,"FRANKLIN","IL",0.025,40319,14.7056662
589,"FULTON","IL",0.052,38080,15.5321976
590,"GALLATIN","IL",0.019,6909,11.3675214
591,"GREENE","IL",0.033,15317,13.0495464
592,"GRUNDY","IL",0.026,32337,18.3778784
593,"HAMILTON","IL",0.025,8499,14.0467657
594,"HANCOCK","IL",0.047,21373,20.6605223
595,"HARDIN","IL",0.009,5189,14.3184422
596,"HENDERSON","IL",0.023,8096,13.7735504
597,"HENRY","IL",0.051,51159,18.7236334
598,"IROQUOIS","IL",0.067,30787,15.1666829
599,"JACKSON","IL",0.036,61067,36.6436653
600,"JASPER","IL",0.029,10609,15.0256035
601,"JEFFERSON","IL",0.033,37020,18.3698955
602,"JERSEY","IL",0.023,20539,14.7583093
603,"JO DAVIESS","IL",0.035,21821,16.4133528
604,"JOHNSON","IL",0.02,11347,14.3524363
605,"KANE","IL",0.029,317471,27.5938834
606,"KANKAKEE","IL",0.039,96255,17.6409622
607,"KENDALL","IL",0.018,39413,24.8893485
608,"KNOX","IL",0.042,56393,19.3436365
609,"LAKE","IL",0.028,516418,37.8340529
610,"LA SALLE","IL",0.068,106913,16.8995267
611,"LAWRENCE","IL",0.022,15972,14.5388128
612,"LEE","IL",0.043,34392,18.476678
613,"LIVINGSTON","IL",0.062,39301,14.5031437
614,"LOGAN","IL",0.036,30798,17.9492226
615,"MCDONOUGH","IL",0.034,35244,27.9280239
616,"MCHENRY","IL",0.036,183241,28.0541488
617,"MCLEAN","IL",0.068,129180,33.8185507
618,"MACON","IL",0.035,117206,19.8618556
619,"MACOUPIN","IL",0.05,47679,14.0083929
620,"MADISON","IL",0.045,249238,19.6994744
621,"MARION","IL",0.035,41561,16.4493851
622,"MARSHALL","IL",0.023,12846,17.5348837
623,"MASON","IL",0.033,16269,13.5054525
624,"MASSAC","IL",0.014,14752,14.034565
625,"MENARD","IL",0.018,11164,18.511502
626,"MERCER","IL",0.033,17290,16.4744211
627,"MONROE","IL",0.023,22422,19.9206186
628,"MONTGOMERY","IL",0.041,30728,11.723732
629,"MORGAN","IL",0.033,36397,20.7244228
630,"MOULTRIE","IL",0.021,13930,15.7185951
631,"OGLE","IL",0.045,45957,18.7793745
632,"PEORIA","IL",0.038,182827,25.838414
633,"PERRY","IL",0.026,21412,13.5622441
634,"PIATT","IL",0.025,15548,22.011857
635,"PIKE","IL",0.049,17577,12.1742809
636,"POPE","IL",0.022,4373,14.2502659
637,"PULASKI","IL",0.011,7523,14.3687708
638,"PUTNAM","IL",0.01,5730,16.5212794
639,"RANDOLPH","IL",0.036,34583,12.7412789
640,"RICHLAND","IL",0.022,16545,21.5077402
641,"ROCK ISLAND","IL",0.028,148723,21.3007289
642,"ST CLAIR","IL",0.04,262852,21.184251
643,"SALINE","IL",0.022,26551,15.4883463
644,"SANGAMON","IL",0.051,178386,28.9881549
645,"SCHUYLER","IL",0.026,7498,14.6365422
646,"SCOTT","IL",0.015,5644,13.0760986
647,"SHELBY","IL",0.044,22261,15.9511699
648,"STARK","IL",0.017,6534,16.8789809
649,"STEPHENSON","IL",0.033,48052,19.8795753
650,"TAZEWELL","IL",0.039,123692,20.0448263
651,"UNION","IL",0.024,17619,17.8795898
652,"VERMILION","IL",0.052,88257,17.0571729
653,"WABASH","IL",0.012,13111,24.7300469
654,"WARREN","IL",0.033,19181,20.4582651
655,"WASHINGTON","IL",0.033,14965,15.9600242
656,"WAYNE","IL",0.042,17241,15.6807027
657,"WHITE","IL",0.029,16522,15.9287398
658,"WHITESIDE","IL",0.041,60186,16.5530497
659,"WILL","IL",0.05,357313,24.7568609
660,"WILLIAMSON","IL",0.025,57733,21.0595616
661,"Winnebago","IL",0.03,252913,22.652364
662,"WOODFORD","IL",0.032,32653,22.8052176
663,"ADAMS","IN",0.021,31095,16.1156797
664,"ALLEN","IN",0.041,300836,27.3597862
665,"BARTHOLOMEW","IN",0.022,63657,22.8468145
666,"BENTON","IN",0.024,9441,13.4643978
667,"BLACKFORD","IN",0.01,14067,12.9819635
668,"BOONE","IN",0.024,38147,27.8306241
669,"BROWN","IN",0.019,14080,19.8002103
670,"CARROLL","IN",0.022,18809,15.4562536
671,"CASS","IN",0.024,38413,13.2149823
672,"CLARK","IN",0.022,87777,16.8123574
673,"CLAY","IN",0.021,24705,14.1137248
674,"CLINTON","IN",0.023,30974,16.045283
675,"CRAWFORD","IN",0.018,9914,8.54375099
676,"DAVIESS","IN",0.026,27533,13.2391267
677,"DEARBORN","IN",0.019,38835,15.5742757
678,"DECATUR","IN",0.022,23645,13.9213675
679,"DE KALB","IN",0.022,35324,15.581854
680,"DELAWARE","IN",0.023,119659,21.1970145
681,"DUBOIS","IN",0.026,36616,17.1676628
682,"ELKHART","IN",0.027,156198,18.3723425
683,"FAYETTE","IN",0.012,26015,11.4249881
684,"FLOYD","IN",0.009,64404,20.5498928
685,"FOUNTAIN","IN",0.025,17808,11.1452991
686,"FRANKLIN","IN",0.023,19580,12.9935988
687,"FULTON","IN",0.021,18840,13.929867
688,"GIBSON","IN",0.029,31913,15.50432
689,"GRANT","IN",0.024,74169,15.5381671
690,"GREENE","IN",0.033,30410,14.9522958
691,"HAMILTON","IN",0.024,108936,42.1311499
692,"HANCOCK","IN",0.017,45527,20.4899394
693,"HARRISON","IN",0.028,29890,13.1074407
694,"HENDRICKS","IN",0.024,75717,24.2200345
695,"HENRY","IN",0.024,48139,13.2576823
696,"HOWARD","IN",0.016,80827,20.2298144
697,"HUNTINGTON","IN",0.023,35427,16.9731386
698,"JACKSON","IN",0.03,37730,13.1423129
699,"JASPER","IN",0.034,24960,14.8558462
700,"JAY","IN",0.022,21512,12.771798
701,"JEFFERSON","IN",0.021,29797,17.5460903
702,"JENNINGS","IN",0.021,23661,10.1458975
703,"JOHNSON","IN",0.018,88109,22.308069
704,"KNOX","IN",0.031,39884,19.9757478
705,"KOSCIUSKO","IN",0.032,65294,19.2629151
706,"LAGRANGE","IN",0.022,29477,11.1118012
707,"LAKE","IN",0.03,475594,17.6686138
708,"LA PORTE","IN",0.036,107066,17.1792531
709,"LAWRENCE","IN",0.027,42836,13.1476522
710,"MADISON","IN",0.026,130669,16.401998
711,"MARION","IN",0.023,797159,26.7446886
712,"MARSHALL","IN",0.026,42182,17.7775263
713,"MARTIN","IN",0.021,10369,13.5396226
714,"MIAMI","IN",0.024,36897,14.4075703
715,"MONROE","IN",0.024,108978,37.7422954
716,"MONTGOMERY","IN",0.03,34436,16.9252277
717,"MORGAN","IN",0.024,55920,14.6798142
718,"NEWTON","IN",0.024,13551,12.1746236
719,"NOBLE","IN",0.025,37877,12.6387629
720,"OHIO","IN",0.005,5315,10.7029216
721,"ORANGE","IN",0.023,18409,9.78827088
722,"OWEN","IN",0.023,17281,11.1649179
723,"PARKE","IN",0.027,15410,14.6129001
724,"PERRY","IN",0.022,19107,11.0422948
725,"PIKE","IN",0.02,12509,13.842852
726,"PORTER","IN",0.026,128932,24.455887
727,"POSEY","IN",0.025,25968,17.2106825
728,"PULASKI","IN",0.026,12643,14.1710559
729,"PUTNAM","IN",0.029,30315,15.734664
730,"RANDOLPH","IN",0.026,27148,12.6200972
731,"RIPLEY","IN",0.025,24616,13.5281456
732,"RUSH","IN",0.023,18129,12.8463697
733,"ST JOSEPH","IN",0.028,247052,24.611669
734,"SCOTT","IN",0.011,20991,10.5895865
735,"SHELBY","IN",0.024,40307,14.7000195
736,"SPENCER","IN",0.024,19490,14.1338236
737,"STARKE","IN",0.019,22747,10.0140252
738,"STEUBEN","IN",0.021,27446,18.6080204
739,"SULLIVAN","IN",0.027,18993,15.4816696
740,"SWITZERLAND","IN",0.013,7738,9.47158524
741,"TIPPECANOE","IN",0.03,130598,36.2454446
742,"TIPTON","IN",0.016,16119,15.4219389
743,"UNION","IN",0.01,6976,12.6449852
744,"VANDERBURGH","IN",0.013,165058,21.7585174
745,"VERMILLION","IN",0.016,16773,12.2726866
746,"VIGO","IN",0.024,106107,22.7230118
747,"WABASH","IN",0.023,35069,16.0805162
748,"WARREN","IN",0.021,8176,13.399963
749,"WARRICK","IN",0.023,44920,23.8155668
750,"WASHINGTON","IN",0.03,23717,10.8145974
751,"WAYNE","IN",0.024,71951,15.5891252
752,"WELLS","IN",0.021,25948,18.5655038
753,"WHITE","IN",0.03,23265,16.5838347
754,"WHITLEY","IN",0.02,27651,15.809776
1197,"ALCONA","MI",0.041,10145,14.1150923
1198,"ALGER","MI",0.051,8972,16.2755866
1199,"ALLEGAN","MI",0.049,90509,18.0660208
1200,"ALPENA","MI",0.034,30605,18.9337962
1201,"ANTRIM","MI",0.031,18185,19.039803
1202,"ARENAC","MI",0.021,14931,11.8278471
1203,"BARAGA","MI",0.054,7954,14.5760743
1204,"BARRY","MI",0.034,50057,17.2519754
1205,"BAY","MI",0.026,111723,18.2258245
1206,"BENZIE","MI",0.02,12200,21.4208568
1207,"BERRIEN","MI",0.033,161378,23.742011
1208,"BRANCH","MI",0.029,41502,16.066702
1209,"CALHOUN","MI",0.042,135982,21.4885192
1210,"CASS","MI",0.03,49477,15.8443516
1211,"CHARLEVOIX","MI",0.022,21468,22.6527251
1212,"CHEBOYGAN","MI",0.048,21398,14.6477089
1213,"CHIPPEWA","MI",0.078,34604,16.9397657
1214,"CLARE","MI",0.034,24952,12.0419487
1215,"CLINTON","MI",0.034,57883,22.8647363
1216,"CRAWFORD","MI",0.034,12260,18.7787018
1217,"DELTA","MI",0.069,37780,18.912404
1218,"DICKINSON","MI",0.046,26831,20.4206544
1219,"EATON","MI",0.034,92879,26.9787819
1220,"EMMET","MI",0.027,25040,26.8725681
1221,"GENESEE","MI",0.037,430459,20.1454244
1222,"GLADWIN","MI",0.031,21896,11.4331387
1223,"GOGEBIC","MI",0.068,18052,21.1730815
1224,"GRAND TRAVERSE","MI",0.03,64273,30.9753249
1225,"GRATIOT","MI",0.033,38982,16.4441292
1226,"HILLSDALE","MI",0.034,43431,16.4684698
1227,"HOUGHTON","MI",0.06,35446,24.7650877
1228,"HURON","MI",0.05,34951,14.3082727
1229,"INGHAM","MI",0.034,281912,36.7600619
1230,"IONIA","MI",0.034,57024,15.116835
1231,"IOSCO","MI",0.033,30209,16.2342399
1232,"IRON","MI",0.07,13175,15.4575777
1233,"ISABELLA","MI",0.034,54624,27.2497358
1234,"JACKSON","MI",0.043,149756,21.2057826
1235,"KALAMAZOO","MI",0.033,223411,34.5571857
1236,"KALKASKA","MI",0.033,13497,11.4555097
1237,"KENT","MI",0.05,500631,28.6383762
1238,"KEWEENAW","MI",0.02,1701,14.4522145
1239,"LAKE","MI",0.035,8583,11.3134379
1240,"LAPEER","MI",0.038,74768,16.1542355
1241,"LEELANAU","MI",0.021,16527,32.5963872
1242,"LENAWEE","MI",0.043,91476,18.7880617
1243,"LIVINGSTON","MI",0.034,115645,27.5866359
1244,"LUCE","MI",0.055,5763,14.4056678
1245,"MACKINAC","MI",0.059,10674,15.2878703
1246,"MACOMB","MI",0.028,717400,20.6866911
1247,"MANISTEE","MI",0.032,21265,16.2528217
1248,"MARQUETTE","MI",0.11,70887,26.763554
1249,"MASON","MI",0.029,25537,18.5401286
1250,"MECOSTA","MI",0.034,37308,25.0460405
1251,"MENOMINEE","MI",0.064,24920,15.084171
1252,"MIDLAND","MI",0.031,75651,35.6088365
1253,"MISSAUKEE","MI",0.033,12147,13.280021
1254,"MONROE","MI",0.033,133600,17.4296096
1255,"MONTCALM","MI",0.042,53059,14.160017
1256,"MONTMORENCY","MI",0.033,8936,13.4575569
1257,"MUSKEGON","MI",0.028,158983,19.0433213
1258,"NEWAYGO","MI",0.051,38202,15.6946934
1259,"OAKLAND","MI",0.055,1083592,36.9635114
1260,"OCEANA","MI",0.03,22454,16.9024096
1261,"OGEMAW","MI",0.032,18681,11.6568382
1262,"ONTONAGON","MI",0.078,8854,15.9567602
1263,"OSCEOLA","MI",0.034,20146,13.6658394
1264,"OSCODA","MI",0.033,7842,12.9210381
1265,"OTSEGO","MI",0.031,17957,20.0211305
1266,"OTTAWA","MI",0.033,187768,26.9656935
1267,"PRESQUE ISLE","MI",0.042,13743,13.8933764
1268,"ROSCOMMON","MI",0.034,19776,13.363353
1269,"SAGINAW","MI",0.048,211946,19.7081294
1270,"ST CLAIR","MI",0.04,145607,17.641192
1271,"ST JOSEPH","MI",0.029,58913,17.0117257
1272,"SANILAC","MI",0.056,39928,13.7970398
1273,"SCHOOLCRAFT","MI",0.075,8302,14.5667198
1274,"SHIAWASSEE","MI",0.031,69770,17.2912268
1275,"TUSCOLA","MI",0.048,55498,14.1243101
1276,"VAN BUREN","MI",0.037,70060,17.8047443
1277,"WASHTENAW","MI",0.041,282937,48.0785102
1278,"WAYNE","MI",0.035,2111687,19.4104036
1279,"WEXFORD","MI",0.034,26360,18.2322106
2009,"ADAMS","OH",0.035,25371,8.74173036
2010,"ALLEN","OH",0.024,109755,17.3660604
2011,"ASHLAND","OH",0.025,47507,17.2669455
2012,"ASHTABULA","OH",0.041,99821,13.2435395
2013,"ATHENS","OH",0.03,59549,29.1494085
2014,"AUGLAIZE","OH",0.024,44585,16.1764706
2015,"BELMONT","OH",0.031,71074,14.1576729
2016,"BROWN","OH",0.028,34966,11.4336901
2017,"BUTLER","OH",0.028,291479,24.2252343
2018,"CARROLL","OH",0.024,26521,11.323289
2019,"CHAMPAIGN","OH",0.026,36019,13.9121748
2020,"CLARK","OH",0.024,147548,17.784992
2021,"CLERMONT","OH",0.026,150187,19.6893454
2022,"CLINTON","OH",0.024,35415,15.7631208
2023,"COLUMBIANA","OH",0.031,108276,13.0905778
2024,"COSHOCTON","OH",0.034,35427,11.6793426
2025,"CRAWFORD","OH",0.023,47870,14.258027
2026,"CUYAHOGA","OH",0.026,1412140,25.0853882
2027,"DARKE","OH",0.036,53619,13.475094
2028,"DEFIANCE","OH",0.023,39350,18.1881619
2029,"DELAWARE","OH",0.027,66929,31.5940573
2030,"ERIE","OH",0.014,76779,18.7380268
2031,"FAIRFIELD","OH",0.029,103461,21.0773874
2032,"FAYETTE","OH",0.024,27466,11.8740898
2033,"FRANKLIN","OH",0.034,961437,32.204593
2034,"FULTON","OH",0.025,38498,16.4765579
2035,"GALLIA","OH",0.026,30954,14.9341366
2036,"GEAUGA","OH",0.024,81129,31.6279977
2037,"GREENE","OH",0.025,136731,31.956732
2038,"GUERNSEY","OH",0.032,39024,13.5143719
2039,"HAMILTON","OH",0.025,866228,29.7883109
2040,"HANCOCK","OH",0.031,65536,24.4504965
2041,"HARDIN","OH",0.028,31111,16.0309861
2042,"HARRISON","OH",0.025,16085,10.5537945
2043,"HENRY","OH",0.025,29108,15.2589751
2044,"HIGHLAND","OH",0.034,35728,12.3112711
2045,"HOCKING","OH",0.024,25533,12.85435
2046,"HOLMES","OH",0.025,32849,9.33070866
2047,"HURON","OH",0.03,56240,13.4497842
2048,"JACKSON","OH",0.024,30230,10.9845318
2049,"JEFFERSON","OH",0.022,80298,13.8431503
2050,"KNOX","OH",0.03,47473,16.771139
2051,"LAKE","OH",0.013,215499,23.6828055
2052,"LAWRENCE","OH",0.026,61834,12.2083684
2053,"LICKING","OH",0.04,128300,18.1793685
2054,"LOGAN","OH",0.027,42310,13.3233757
2055,"LORAIN","OH",0.029,271126,18.8616572
2056,"LUCAS","OH",0.021,462361,23.5504285
2057,"MADISON","OH",0.028,37068,13.3788082
2058,"MAHONING","OH",0.024,264806,18.1757973
2059,"MARION","OH",0.024,64274,15.0270375
2060,"MEDINA","OH",0.025,122354,23.7026065
2061,"MEIGS","OH",0.025,22987,11.677498
2062,"MERCER","OH",0.028,39443,14.1000841
2063,"MIAMI","OH",0.024,93182,19.2777119
2064,"MONROE","OH",0.026,15497,10.513927
2065,"MONTGOMERY","OH",0.027,573809,26.5504804
2066,"MORGAN","OH",0.025,14194,11.3808463
2067,"MORROW","OH",0.024,27749,12.1051405
2068,"MUSKINGUM","OH",0.041,82068,15.3234543
2069,"NOBLE","OH",0.024,11336,8.84588804
2070,"OTTAWA","OH",0.016,40029,19.338309
2071,"PAULDING","OH",0.025,20488,11.4884393
2072,"PERRY","OH",0.023,31557,10.1076709
2073,"PICKAWAY","OH",0.03,48255,13.0943276
2074,"PIKE","OH",0.026,24249,12.4445328
2075,"PORTAGE","OH",0.03,142585,21.8818751
2076,"PREBLE","OH",0.025,40113,11.233264
2077,"PUTNAM","OH",0.029,33819,15.7080088
2078,"RICHLAND","OH",0.029,126137,16.7975615
2079,"ROSS","OH",0.041,69330,14.1156575
2080,"SANDUSKY","OH",0.024,61963,16.2824097
2081,"SCIOTO","OH",0.035,80327,13.7772608
2082,"SENECA","OH",0.033,59733,15.6221022
2083,"SHELBY","OH",0.025,44915,17.3762105
2084,"STARK","OH",0.034,367585,18.9896041
2085,"SUMMIT","OH",0.024,514990,24.7331393
2086,"TRUMBULL","OH",0.037,227813,15.5998451
2087,"TUSCARAWAS","OH",0.034,84090,13.0834179
2088,"UNION","OH",0.026,31969,16.9825108
2089,"VAN WERT","OH",0.024,30464,15.1100169
2090,"VINTON","OH",0.024,11098,7.91325578
2091,"WARREN","OH",0.023,113909,24.4193518
2092,"WASHINGTON","OH",0.038,62254,19.0096756
2093,"WAYNE","OH",0.033,101461,18.4454309
2094,"WILLIAMS","OH",0.025,36956,14.4987147
2095,"WOOD","OH",0.037,113269,29.0951102
2096,"WYANDOT","OH",0.024,22254,13.7107444
2981,"ADAMS","WI",0.041,15682,12.4274917
2982,"ASHLAND","WI",0.054,16307,18.3200156
2983,"BARRON","WI",0.053,40750,19.425147
2984,"BAYFIELD","WI",0.089,14008,25.8228923
2985,"BROWN","WI",0.032,194594,26.2931785
2986,"BUFFALO","WI",0.04,13584,17.9412424
2987,"BURNETT","WI",0.053,13084,13.6760641
2988,"CALUMET","WI",0.023,34291,19.7803247
2989,"CHIPPEWA","WI",0.063,52360,18.1533363
2990,"CLARK","WI",0.072,31647,13.84631
2991,"COLUMBIA","WI",0.046,45088,20.852313
2992,"CRAWFORD","WI",0.035,15940,16.599469
2993,"DANE","WI",0.073,367085,43.6264509
2994,"DODGE","WI",0.054,76559,15.9254638
2995,"DOOR","WI",0.028,25690,22.4883413
2996,"DOUGLAS","WI",0.078,41758,20.9940872
2997,"DUNN","WI",0.052,35909,26.2870159
2998,"EAU CLAIRE","WI",0.038,85183,29.8544673
2999,"FLORENCE","WI",0.03,4590,15.6035329
3000,"FOND DU LAC","WI",0.044,90083,20.8318653
3001,"FOREST","WI",0.06,8776,13.5699001
3002,"GRANT","WI",0.069,49264,21.6803841
3003,"GREEN","WI",0.034,30339,19.8751776
3004,"GREEN LAKE","WI",0.022,18651,17.3050671
3005,"IOWA","WI",0.046,20150,20.483251
3006,"IRON","WI",0.047,6153,18.7317293
3007,"JACKSON","WI",0.06,16588,15.3240741
3008,"JEFFERSON","WI",0.035,67783,22.1656323
3009,"JUNEAU","WI",0.047,21650,14.3912738
3010,"KENOSHA","WI",0.016,128181,20.3282422
3011,"KEWAUNEE","WI",0.02,18878,14.3909586
3012,"LA CROSSE","WI",0.028,97904,30.4885126
3013,"LAFAYETTE","WI",0.037,16076,16.4620371
3014,"LANGLADE","WI",0.052,19505,13.6317946
3015,"LINCOLN","WI",0.053,26993,17.4417943
3016,"MANITOWOC","WI",0.036,80421,19.0711481
3017,"MARATHON","WI",0.094,115400,21.877375
3018,"MARINETTE","WI",0.082,40548,15.4275441
3019,"MARQUETTE","WI",0.027,12321,14.0016473
3020,"MENOMINEE","WI",0.021,3890,7.33610822
3021,"MILWAUKEE","WI",0.015,959275,25.3558337
3022,"MONROE","WI",0.054,36633,17.3724213
3023,"OCONTO","WI",0.06,30226,13.4311741
3024,"ONEIDA","WI",0.071,31679,21.9338239
3025,"OUTAGAMIE","WI",0.037,140510,24.8578251
3026,"OZAUKEE","WI",0.015,72831,37.4197798
3027,"PEPIN","WI",0.014,7107,15.7492355
3028,"PIERCE","WI",0.034,32765,24.464372
3029,"POLK","WI",0.055,34773,18.5920497
3030,"PORTAGE","WI",0.048,61405,24.6343275
3031,"PRICE","WI",0.075,15600,15.527175
3032,"RACINE","WI",0.02,175034,22.9065131
3033,"RICHLAND","WI",0.034,17521,17.4993368
3034,"ROCK","WI",0.042,139510,19.9064402
3035,"RUSK","WI",0.055,15079,16.7559769
3036,"ST CROIX","WI",0.044,50251,28.5880867
3037,"SAUK","WI",0.05,46975,19.833921
3038,"SAWYER","WI",0.079,14181,17.9479167
3039,"SHAWANO","WI",0.054,37157,14.8077953
3040,"SHEBOYGAN","WI",0.032,103877,20.8371926
3041,"TAYLOR","WI",0.057,18901,15.0650908
3042,"TREMPEALEAU","WI",0.043,25263,17.5516579
3043,"VERNON","WI",0.048,25617,18.9421311
3044,"VILAS","WI",0.06,17707,19.2118611
3045,"WALWORTH","WI",0.032,75000,23.1569039
3046,"WASHBURN","WI",0.05,13772,19.0168872
3047,"WASHINGTON","WI",0.025,95328,23.3909001
3048,"WAUKESHA","WI",0.034,304715,35.3967841
3049,"WAUPACA","WI",0.045,46104,16.5498688
3050,"WAUSHARA","WI",0.037,19385,15.064584
3051,"WINNEBAGO","WI",0.035,140320,24.9955036
3052,"WOOD","WI",0.048,73605,21.6663817
