"Distillery","Region","Latitude","Longitude","Body","Sweetness","Smoky","Medicinal","Tobacco","Honey","Spicy","Winey","Nutty","Malty","Fruity","Floral"
"Aberfeldy","Highland",286580,749680,2,2,2,0,0,2,1,2,2,2,2,2
"Aberlour","Speyside",326340,842570,3,3,1,0,0,4,3,2,2,3,3,2
"AnCnoc","Highland",352960,839320,1,3,2,0,0,2,0,0,2,2,3,2
"Ardbeg","Islay",141560,646220,4,1,4,4,0,0,2,0,1,2,1,0
"Ardmore","Speyside",355350,829140,2,2,2,0,0,1,1,1,2,3,1,1
"ArranIsleOf","Highland",194050,649950,2,3,1,1,0,1,1,1,0,1,1,2
"Auchentoshan","Lowland",247670,672610,0,2,0,0,0,1,1,0,2,2,3,3
"Auchroisk","Speyside",340754,848623,2,3,1,0,0,2,1,2,2,2,2,1
"Aultmore","Speyside",340754,848623,2,2,1,0,0,1,0,0,2,2,2,2
"Balblair","Highland",270820,885770,2,3,2,1,0,0,2,0,2,1,2,1
"Balmenach","Speyside",307750,827170,4,3,2,0,0,2,1,3,3,0,1,2
"Belvenie","Speyside",332680,840840,3,2,1,0,0,3,2,1,0,2,2,2
"BenNevis","Highland",212600,775710,4,2,2,0,0,2,2,0,2,2,2,2
"Benriach","Speyside",323450,858380,2,2,1,0,0,2,2,0,0,2,3,2
"Benrinnes","Speyside",325800,839920,3,2,2,0,0,3,1,1,2,3,2,2
"Benromach","Speyside",303330,859350,2,2,2,0,0,2,2,1,2,2,2,2
"Bladnoch","Lowland",242260,554260,1,2,1,0,0,0,1,1,0,2,2,3
"BlairAthol","Highland",294860,757580,2,2,2,0,0,1,2,2,2,2,2,2
"Bowmore","Islay",131330,659720,2,2,3,1,0,2,2,1,1,1,1,2
"Bruichladdich","Islay",126680,661400,1,1,2,2,0,2,2,1,2,2,2,2
"Bunnahabhain","Islay",142210,673170,1,2,1,1,0,1,1,1,1,2,2,3
"CaolIla","Islay",142920,670040,3,1,4,2,1,0,2,0,2,1,1,1
"Cardhu","Speyside",318790,843090,1,3,1,0,0,1,1,0,2,2,2,2
"Clynelish","Highland",290250,904230,3,2,3,3,1,0,2,0,1,1,2,0
"Craigallechie","Speyside",328920,844920,2,2,2,0,1,2,2,1,2,2,1,4
"Cragganmore","Speyside",316600,836370,2,3,2,1,0,0,1,0,2,2,2,2
"Dailuaine","Speyside",323520,841010,4,2,2,0,0,1,2,2,2,2,2,1
"Dalmore","Highland",266610,868730,3,2,2,1,0,1,2,2,1,2,3,1
"Dalwhinnie","Speyside",263670,785270,2,2,2,0,0,2,1,0,1,2,2,2
"Deanston","Highland",271570,701570,2,2,1,0,0,2,1,1,1,3,2,1
"Dufftown","Speyside",332360,839200,2,3,1,1,0,0,0,0,1,2,2,2
"Edradour","Highland",295960,757940,2,3,1,0,0,2,1,1,4,2,2,2
"Glenallachie","Speyside",326490,841240,1,3,1,0,0,1,1,0,1,2,2,2
"GlenDeveronMacduff","Speyside",372120,860400,2,3,1,1,1,1,1,2,0,2,0,1
"Glendronach","Speyside",361200,844930,4,2,2,0,0,2,1,4,2,2,2,0
"Glendullan","Speyside",333000,840300,3,2,1,0,0,2,1,2,1,2,3,2
"GlenElgin","Speyside",322640,861040,2,3,1,0,0,2,1,1,1,1,2,3
"Glenfarclas","Speyside",320950,838160,2,4,1,0,0,1,2,3,2,3,2,2
"Glenfiddich","Speyside",332680,840840,1,3,1,0,0,0,0,0,0,2,2,2
"GlenGarioch","Speyside",381020,827590,2,1,3,0,0,0,3,1,0,2,2,2
"Glengoyne","Highland",252810,682750,1,2,0,0,0,1,1,1,2,2,3,2
"GlenGrant","Speyside",327610,849570,1,2,0,0,0,1,0,1,2,1,2,1
"GlenKeith","Speyside",340754,848623,2,3,1,0,0,1,2,1,2,1,2,1
"Glenkinchie","Lowland",344380,666690,1,2,1,0,0,1,2,0,0,2,2,2
"Glenlivet","Speyside",319560,828780,2,3,1,0,0,2,2,2,1,2,2,3
"Glenlossie","Speyside",322640,861040,1,2,1,0,0,1,2,0,1,2,2,2
"Glenmorangie","Highland",276750,883450,2,2,1,1,0,1,2,0,2,1,2,2
"GlenMoray","Speyside",319820,862320,1,2,1,0,0,1,2,1,2,2,2,4
"GlenOrd","Highland",251810,850860,3,2,1,0,0,1,2,1,1,2,2,2
"Glenrothes","Speyside",327650,849170,2,3,1,0,0,1,1,2,1,2,2,0
"GlenScotia","Campbeltown",172090,621010,2,2,2,2,0,1,0,1,2,2,1,1
"GlenSpey","Speyside",327760,849140,1,3,1,0,0,0,1,1,1,2,0,2
"Glenturret","Highland",285630,723580,2,3,1,0,0,2,2,2,2,2,1,2
"HighlandPark","Highland",345340,1009260,2,2,3,1,0,2,1,1,1,2,1,1
"Inchgower","Speyside",342610,863970,1,3,1,1,0,2,2,0,1,2,1,2
"JuraIsleOf","Highland",152660,667040,2,1,2,2,0,1,1,0,2,1,1,1
"Knochando","Speyside",319470,841570,2,3,1,0,0,2,2,1,2,1,2,2
"Lagavulin","Islay",140430,645730,4,1,4,4,1,0,1,2,1,1,1,0
"Laphroaig","Islay",138680,645160,4,2,4,4,1,0,0,1,1,1,0,0
"Linkwood","Speyside",322640,861040,2,3,1,0,0,1,1,2,0,1,3,2
"LochLomond","Highland",239370,680920,1,1,1,1,0,1,1,0,1,2,1,2
"Longmorn","Speyside",322640,861040,3,2,1,0,0,1,1,1,3,3,2,3
"Macallan","Speyside",327710,844480,4,3,1,0,0,2,1,4,2,2,3,1
"Mannochmore","Speyside",322640,861040,2,1,1,0,0,1,1,1,2,1,2,2
"Miltonduff","Speyside",322640,861040,2,4,1,0,0,1,0,0,2,1,1,2
"Mortlach","Speyside",332950,839850,3,2,2,0,0,2,3,3,2,1,2,2
"Oban","Highland",185940,730190,2,2,2,2,0,0,2,0,2,2,2,0
"OldFettercairn","Speyside",370860,772900,1,2,2,0,1,2,2,1,2,3,1,1
"OldPulteney","Highland",336730,950130,2,1,2,2,1,0,1,1,2,2,2,2
"RoyalBrackla","Highland",286040,851320,2,3,2,1,1,1,2,1,0,2,3,2
"RoyalLochnagar","Highland",326140,794370,3,2,2,0,0,2,2,2,2,2,3,1
"Scapa","Highland",342850,1008930,2,2,1,1,0,2,1,1,2,2,2,2
"Speyburn","Speyside",326930,851430,2,4,1,0,0,2,1,0,0,2,1,2
"Speyside","Speyside",278740,800600,2,2,1,0,0,1,0,1,2,2,2,2
"Springbank","Campbeltown",172280,620910,2,2,2,2,0,2,2,1,2,1,0,1
"Strathisla","Speyside",340754,848623,2,2,1,0,0,2,2,2,3,3,3,2
"Strathmill","Speyside",342650,850500,2,3,1,0,0,0,2,0,2,1,3,2
"Talisker","Highland",137950,831770,4,2,3,3,0,1,3,0,1,2,2,0
"Tamdhu","Speyside",319210,841760,1,2,1,0,0,2,0,1,1,2,2,2
"Tamnavulin","Speyside",321180,826110,1,3,2,0,0,0,2,0,2,1,2,3
"Teaninich","Highland",265360,869120,2,2,2,1,0,0,2,0,0,0,2,2
"Tobermory","Highland",150450,755070,1,1,1,0,0,1,0,0,1,2,2,2
"Tomatin","Speyside",279120,829630,2,3,2,0,0,2,2,1,1,2,0,1
"Tomintoul","Speyside",315100,825560,0,3,1,0,0,2,2,1,1,2,1,2
"Tormore","Speyside",315180,834960,2,2,1,0,0,1,0,1,2,1,0,0
"Tullibardine","Highland",289690,708850,2,3,0,0,1,0,2,1,1,2,2,1
